,Jan 2015,Feb 2015,Mar 2015,April 2015,May 2015,June 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,April 2016,May 2016,June 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,April 2017,May 2017,June 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,April 2018,May 2018,June 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,April 2019,May 2019,June 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,April 2020,May 2020,June 2020,Jul 2020,Aug 2020
960,12.996999740600586,16.708154678344727,16.78553581237793,18.077077865600586,14.671384811401367,15.378461837768555,15.347000122070312,15.51761531829834,15.608384132385254,13.322845458984375,17.149768829345703,15.715152740478516,16.060152053833008,18.902463912963867,19.07738494873047,18.26384735107422,16.951000213623047,17.037384033203125,17.896846771240234,15.068154335021973,15.974231719970703,18.676769256591797,16.364540100097656,16.705078125,15.124384880065918,17.99723243713379,19.534847259521484,16.207307815551758,17.343538284301758,17.850767135620117,16.299152374267578,14.59646224975586,15.386922836303711,16.42684555053711,18.071691513061523,18.36561393737793,18.864076614379883,19.074384689331055,18.976152420043945,18.876384735107422,17.917844772338867,16.87746238708496,16.393077850341797,15.364537239074707,15.34515380859375,14.074692726135254,15.645000457763672,15.685998916625977,15.869384765625,18.81000328063965,17.101383209228516,17.936077117919922,16.778690338134766,17.852386474609375,17.150999069213867,16.87384605407715,15.467998504638672,15.573691368103027,17.36107635498047,15.804615020751953,14.710077285766602,18.659000396728516,12.924152374267578,18.30900001525879,13.501461029052734,15.125462532043457,15.67392349243164,17.148075103759766
961,13.015769004821777,16.763690948486328,16.817306518554688,18.101232528686523,14.680999755859375,15.39646053314209,15.387924194335938,15.565461158752441,15.585768699645996,13.344768524169922,17.13807487487793,15.724921226501465,16.034921646118164,18.85907745361328,19.052846908569336,18.24684715270996,16.950077056884766,17.040767669677734,17.87476921081543,15.056077003479004,15.93646240234375,18.635847091674805,16.38169288635254,16.71392250061035,15.205845832824707,17.954999923706055,19.418922424316406,16.188615798950195,17.31938362121582,17.82923126220703,16.285768508911133,14.595768928527832,15.412769317626953,16.42984390258789,18.072847366333008,18.380229949951172,18.84384536743164,19.068769454956055,18.987384796142578,18.88323211669922,17.845075607299805,16.855615615844727,16.429616928100586,15.332538604736328,15.388922691345215,14.269537925720215,15.72476863861084,15.705230712890625,15.848001480102539,18.910385131835938,17.11176872253418,17.94392204284668,16.8067684173584,17.92523193359375,17.20899772644043,16.84469223022461,15.417000770568848,15.570537567138672,17.464460372924805,15.805768966674805,14.699691772460938,18.686769485473633,12.919154167175293,18.285846710205078,13.511537551879883,15.206000328063965,15.698845863342285,17.144153594970703
962,12.787538528442383,16.963613510131836,16.66607666015625,18.588924407958984,15.045307159423828,15.821152687072754,15.901998519897461,16.39830780029297,15.695693016052246,13.204306602478027,16.55677032470703,15.615922927856445,15.52199935913086,18.04438591003418,18.820846557617188,17.911998748779297,16.94515609741211,17.40530776977539,18.233999252319336,15.364922523498535,15.647231101989746,18.301692962646484,16.086076736450195,16.64446258544922,15.44638442993164,17.240230560302734,18.506921768188477,16.324077606201172,17.37953758239746,18.117538452148438,16.657230377197266,14.702615737915039,15.596385955810547,16.377460479736328,17.54753875732422,18.449077606201172,18.32223129272461,18.589845657348633,19.12553596496582,19.217845916748047,17.638614654541016,17.188922882080078,16.916616439819336,15.52523136138916,15.69876766204834,15.561079025268555,15.879307746887207,15.770999908447266,15.261921882629395,19.624000549316406,17.059614181518555,18.173999786376953,17.339923858642578,18.891307830810547,17.851768493652344,16.770612716674805,15.184232711791992,15.632152557373047,17.83254051208496,15.728615760803223,14.24307632446289,18.7591552734375,12.818614959716797,18.604692459106445,14.062846183776855,16.39076805114746,16.145769119262695,17.294614791870117
963,14.754693031311035,18.47446060180664,17.595460891723633,18.59246063232422,18.778230667114258,17.61461639404297,15.335769653320312,16.59646224975586,16.44707679748535,15.775923728942871,17.368385314941406,16.552385330200195,16.888845443725586,21.70407485961914,20.85746192932129,19.058307647705078,18.76730728149414,18.606229782104492,17.72838592529297,15.72553825378418,16.042461395263672,19.33438491821289,16.257152557373047,15.66507625579834,14.104538917541504,17.953231811523438,20.204769134521484,20.36669158935547,19.60930633544922,19.296541213989258,15.478461265563965,14.922075271606445,17.64807891845703,18.901155471801758,18.620384216308594,18.49146270751953,20.01376724243164,17.89253807067871,18.597307205200195,19.555076599121094,20.795000076293945,19.180540084838867,15.603923797607422,16.217308044433594,16.585845947265625,13.605924606323242,18.66107749938965,13.629152297973633,16.30792236328125,18.259153366088867,17.035459518432617,19.628692626953125,19.038387298583984,19.200613021850586,17.219463348388672,17.066232681274414,15.867155075073242,18.432538986206055,17.616153717041016,15.666461944580078,17.000383377075195,18.2198486328125,16.893768310546875,19.63553810119629,16.99638557434082,18.386152267456055,16.299692153930664,16.91607666015625
964,15.635636329650879,16.993091583251953,18.025909423828125,18.049091339111328,15.102182388305664,17.118452072143555,16.031272888183594,17.09154510498047,18.82054328918457,15.731090545654297,17.687726974487305,15.604635238647461,16.691728591918945,18.286182403564453,18.712364196777344,17.045455932617188,16.823453903198242,19.729637145996094,19.672727584838867,15.72336483001709,16.989091873168945,20.03927230834961,17.319091796875,16.365816116333008,14.004454612731934,16.411725997924805,20.128271102905273,17.521183013916016,18.132362365722656,19.253999710083008,17.547090530395508,14.845364570617676,16.924455642700195,18.412092208862305,18.513816833496094,18.79100227355957,18.847272872924805,17.296545028686523,17.681547164916992,19.591272354125977,19.288728713989258,19.73827362060547,16.945999145507812,16.455543518066406,18.28372573852539,14.893726348876953,16.031452178955078,15.976635932922363,14.884546279907227,15.195816993713379,15.705000877380371,16.432636260986328,16.924455642700195,18.788454055786133,17.664819717407227,18.422273635864258,19.329090118408203,18.71590805053711,18.746999740600586,15.512818336486816,14.487273216247559,15.723272323608398,14.453908920288086,17.204364776611328,13.821727752685547,16.48145294189453,17.11981773376465,18.522544860839844
965,15.752301216125488,17.124500274658203,18.13290023803711,18.20760154724121,15.16759967803955,17.21190071105957,16.126800537109375,17.139301300048828,18.93069839477539,15.8725004196167,17.883201599121094,15.769899368286133,16.88290023803711,18.478300094604492,18.87380027770996,17.223499298095703,16.866497039794922,19.81180191040039,19.79560089111328,15.789700508117676,17.05769920349121,20.225200653076172,17.472400665283203,16.572601318359375,14.156900405883789,16.567401885986328,20.281200408935547,17.63759994506836,18.239898681640625,19.347198486328125,17.656600952148438,14.89470100402832,17.052200317382812,18.55120277404785,18.724998474121094,18.97119903564453,18.93869972229004,17.40399932861328,17.772600173950195,19.673198699951172,19.359302520751953,19.78860092163086,17.002201080322266,16.511001586914062,18.360000610351562,14.990798950195312,16.149097442626953,16.12420082092285,15.01140022277832,15.335500717163086,15.79539966583252,16.527799606323242,16.996700286865234,18.833599090576172,17.705402374267578,18.44659996032715,19.3695011138916,18.818302154541016,18.828598022460938,15.621198654174805,14.620500564575195,15.87090015411377,14.549099922180176,17.309101104736328,13.882400512695312,16.53339958190918,17.155698776245117,18.57699966430664
966,12.995857238769531,16.87557029724121,16.819713592529297,18.268070220947266,14.770429611206055,15.536642074584961,15.590214729309082,15.846570014953613,15.601500511169434,13.361856460571289,16.965499877929688,15.701642990112305,15.876286506652832,18.565073013305664,18.92878532409668,18.158143997192383,16.945144653320312,17.155641555786133,17.937999725341797,15.124571800231934,15.83657169342041,18.496501922607422,16.30564308166504,16.695144653320312,15.379213333129883,17.674283981323242,18.985998153686523,16.201570510864258,17.26742935180664,17.87028694152832,16.36750030517578,14.664214134216309,15.522714614868164,16.434715270996094,17.932857513427734,18.421785354614258,18.67300033569336,18.90378761291504,19.009429931640625,18.968286514282227,17.643714904785156,16.911500930786133,16.625,15.351641654968262,15.567070960998535,14.909785270690918,15.884926795959473,15.741857528686523,15.65142822265625,19.21550178527832,17.097570419311523,18.02364158630371,16.976428985595703,18.285999298095703,17.47321319580078,16.80392837524414,15.300786018371582,15.58464241027832,17.717287063598633,15.783857345581055,14.549357414245605,18.7252140045166,12.868071556091309,18.33207130432129,13.635499954223633,15.631928443908691,15.856572151184082,17.192642211914062
967,12.995857238769531,16.87557029724121,16.819713592529297,18.268070220947266,14.770429611206055,15.536642074584961,15.590214729309082,15.846570014953613,15.601500511169434,13.361856460571289,16.965499877929688,15.701642990112305,15.876286506652832,18.565073013305664,18.92878532409668,18.158143997192383,16.945144653320312,17.155641555786133,17.937999725341797,15.124571800231934,15.83657169342041,18.496501922607422,16.30564308166504,16.695144653320312,15.379213333129883,17.674283981323242,18.985998153686523,16.201570510864258,17.26742935180664,17.87028694152832,16.36750030517578,14.664214134216309,15.522714614868164,16.434715270996094,17.932857513427734,18.421785354614258,18.67300033569336,18.90378761291504,19.009429931640625,18.968286514282227,17.643714904785156,16.911500930786133,16.625,15.351641654968262,15.567070960998535,14.909785270690918,15.884926795959473,15.741857528686523,15.65142822265625,19.21550178527832,17.097570419311523,18.02364158630371,16.976428985595703,18.285999298095703,17.47321319580078,16.80392837524414,15.300786018371582,15.58464241027832,17.717287063598633,15.783857345581055,14.549357414245605,18.7252140045166,12.868071556091309,18.33207130432129,13.635499954223633,15.631928443908691,15.856572151184082,17.192642211914062
968,12.879181861877441,16.90663719177246,16.706363677978516,18.435636520385742,14.896271705627441,15.68009090423584,15.756726264953613,16.12945556640625,15.648909568786621,13.282999038696289,16.72972869873047,15.624181747436523,15.654999732971191,18.25063705444336,18.827999114990234,18.045364379882812,16.926910400390625,17.278364181518555,18.077817916870117,15.232635498046875,15.730273246765137,18.361726760864258,16.159271240234375,16.633909225463867,15.402544975280762,17.39318084716797,18.669816970825195,16.25536346435547,17.288000106811523,17.992454528808594,16.50709342956543,14.692635536193848,15.569273948669434,16.386001586914062,17.70545196533203,18.410181045532227,18.451637268066406,18.696001052856445,19.037546157836914,19.081636428833008,17.57745361328125,17.052000045776367,16.787818908691406,15.420726776123047,15.652545928955078,15.2936372756958,15.885363578796387,15.727090835571289,15.411910057067871,19.424545288085938,17.05363655090332,18.10009002685547,17.16154670715332,18.620182037353516,17.68899917602539,16.791545867919922,15.227727890014648,15.589000701904297,17.78363609313965,15.721453666687012,14.347637176513672,18.720001220703125,12.80981731414795,18.469999313354492,13.8410005569458,16.036182403564453,16.012727737426758,17.247180938720703
969,12.879181861877441,16.90663719177246,16.706363677978516,18.435636520385742,14.896271705627441,15.68009090423584,15.756726264953613,16.12945556640625,15.648909568786621,13.282999038696289,16.72972869873047,15.624181747436523,15.654999732971191,18.25063705444336,18.827999114990234,18.045364379882812,16.926910400390625,17.278364181518555,18.077817916870117,15.232635498046875,15.730273246765137,18.361726760864258,16.159271240234375,16.633909225463867,15.402544975280762,17.39318084716797,18.669816970825195,16.25536346435547,17.288000106811523,17.992454528808594,16.50709342956543,14.692635536193848,15.569273948669434,16.386001586914062,17.70545196533203,18.410181045532227,18.451637268066406,18.696001052856445,19.037546157836914,19.081636428833008,17.57745361328125,17.052000045776367,16.787818908691406,15.420726776123047,15.652545928955078,15.2936372756958,15.885363578796387,15.727090835571289,15.411910057067871,19.424545288085938,17.05363655090332,18.10009002685547,17.16154670715332,18.620182037353516,17.68899917602539,16.791545867919922,15.227727890014648,15.589000701904297,17.78363609313965,15.721453666687012,14.347637176513672,18.720001220703125,12.80981731414795,18.469999313354492,13.8410005569458,16.036182403564453,16.012727737426758,17.247180938720703
